block,criterion,tier,rating,rationale
Perceivable,1.1.1 Text alternative for non-text content,clinician,Partial,"Every number is burned into the PNG and this is the only tier with no text sibling — tier_asha_*.txt and tier_mother_*_hi.txt exist, tier_clinician_*.txt does not; the nearest machine-readable form is shap_case_contributions.csv, which is data, not a caption."
Perceivable,1.1.1 Text alternative for non-text content,ASHA,Pass,"`results/tables/tier_asha_<case>.txt` reproduces the card verbatim — the band label, the driver list (empty on a routine card, as on the PNG), next step, accountability line, disclaimer — so nothing on the PNG is image-only."
Perceivable,1.1.1 Text alternative for non-text content,mother,Partial,"The spoken line has a deterministic transcript on disk (`tier_mother_<case>_hi.txt`), but render_mother() draws three ellipses and nothing else: no caption is rendered, so a deaf or hard-of-hearing viewer gets no text alternative in the artifact she is handed."
Perceivable,1.4.1 Use of colour (colour not the only cue),clinician,Pass,"Bar direction plus a signed numeric label carries every SHAP sign without hue (BS +0.204, DiastolicBP -0.024 on boundary_mid); probability bars are labelled with class name and value, so the green/amber/red fill is redundant."
Perceivable,1.4.1 Use of colour (colour not the only cue),ASHA,Pass,"The header text states the level itself — 'LOW — routine care', 'ELEVATED — needs follow-up', 'HIGH — needs follow-up' — one distinct string per band, asserted distinct by a self-check in render.py. Hue restates it and nothing more; render the card in greyscale and no information is lost."
Perceivable,1.4.1 Use of colour (colour not the only cue),mother,Partial,"Hue is the primary cue. Two redundancies verified: lamp POSITION is fixed (red top / amber middle / green bottom) and lit-vs-unlit differs by 3.97:1 in luminance, so which lamp is lit survives colour-vision deficiency; the spoken Hindi line is a second non-colour channel. Residual gap: a viewer who is both colour-blind and deaf has position only, and position assumes the traffic-light convention."
Perceivable,1.4.3 Contrast (minimum),clinician,Pass,"Text is matplotlib near-black on white; the smallest element, the 8pt italic disclaimer at #555, measures 7.46:1. Bar fills measure 3.91:1 and 3.45:1 against white, clearing the 3:1 non-text threshold (1.4.11)."
Perceivable,1.4.3 Contrast (minimum),ASHA,Pass,"Header ink is now chosen per band by render.text_on(), which compares both candidates against the band colour: near-black on amber 8.23:1, near-black on green 5.14:1, white on red 5.54:1. Worst case 5.14:1 clears the 4.5:1 normal-text minimum, not merely the 3:1 large-text one. Previously white was hardcoded and the amber header — the most common state — measured 2.12:1."
Perceivable,1.4.3 Contrast (minimum),mother,Pass,"No text to contrast. The perceivable object is the lit lamp, which measures 6.69:1 against the #2b2b2b housing. Caveat named honestly: the unlit lamps sit at 1.68:1 against the housing, so on a low-fidelity print or a dim screen the three-lamp layout that carries the position cue may read as one lamp on a dark slab."
Perceivable,1.4.5 Images of text,clinician,Fail,"Titles, axis labels, the probability values and the raw-value table are all rasterised at 150 dpi: text cannot be resized, reflowed, restyled or selected, and no text sibling exists."
Perceivable,1.4.5 Images of text,ASHA,Partial,"The card itself is an image of text and fails as rendered, but the verbatim .txt sibling gives a deployment a conforming, restylable source for every string on it."
Perceivable,1.4.5 Images of text,mother,Pass,Vacuously — the visual contains no text at all. Note the tension: the same design choice that clears 1.4.5 here is what makes 1.1.1 Partial above.
Operable,"2.1 / 2.4 Keyboard, focus order, navigation",clinician,Deferred,"Static PNG with no controls. Keyboard operability and focus order are properties of the dashboard that would embed this figure — relevant at deployment, not exercisable here."
Operable,"2.1 / 2.4 Keyboard, focus order, navigation",ASHA,Deferred,"Static card. Navigation, dismissal and re-display belong to the host app (an ANMOL-style Android form) — relevant at deployment."
Operable,"2.1 / 2.4 Keyboard, focus order, navigation",mother,Deferred,"Relevant at deployment and non-trivial: an IVR delivery must offer repeat-the-message and must not time out (2.2.1). A one-shot MP3 file cannot exercise either, and we do not claim a rating it cannot earn."
Understandable,3.1.1 / 3.1.2 Language of page and of parts,clinician,Pass,"Single language throughout (English), consistent across all four cases, matching the tier's stated reader."
Understandable,3.1.1 / 3.1.2 Language of page and of parts,ASHA,Partial,"English only, as a scoped exposition choice rather than a claim about deployment. This tier's contribution is cognitive-load reduction — less detail, one action — and its localisation is fixed-string substitution: every user-facing string is a constant (PLAIN_NAMES, ASHA_NEXT_STEP, ASHA_FOOTER) with no generation at inference, so there is nothing to translate that a translator could not translate once. Language is central in the mother tier, where a non-reading user forces a modality substitution; here it is incidental. Rated Partial because a Hindi-first ASHA still cannot read this card today."
Understandable,3.1.1 / 3.1.2 Language of page and of parts,mother,Pass,"Hindi text with a matching Hindi TTS voice (lang='hi'), and no language-of-parts problem left in it: the one Latin-script token, the acronym 'ANM', is now written phonetically in Devanagari (ए-एन-एम) so the Hindi engine voices it rather than guessing. Strings authored and clinically reviewed by a native-speaking MBBS collaborator, not machine-translated."
Understandable,3.1.5 Reading level / plain language,clinician,Partial,"Deliberately technical — 'SHAP waterfall', 'base E[f(x)] = 0.250' — which is correct for a trained reader but fails the letter of 3.1.5, since the tier carries no simpler supplement of its own. The supplement exists: it is the other two tiers. That is the architecture's point."
Understandable,3.1.5 Reading level / plain language,ASHA,Partial,"Short sentences and field vocabulary via the fixed PLAIN_NAMES map ('raised blood sugar', not a clinical term). Above plain register: the header word 'ELEVATED' and the phrase 'medical officer', both of which a lower-literacy reader may stumble on."
Understandable,3.1.5 Reading level / plain language,mother,Pass,"One spoken Hindi sentence, no number, no percentage, no condition named, ending in an action ('please get checked at your ANM or the nearest health centre soon'). Requires no literacy of any kind — the only tier of the three that does not."
Understandable,3.2.4 Consistent identification,clinician,Pass,"Class colours (green/amber/red for low/mid/high) are the same palette the other tiers use, and identical across all four cases."
Understandable,3.2.4 Consistent identification,ASHA,Pass,"One band_for() call per case now drives the card header and the mother's lamp, so the two tiers cannot disagree: confident_high is RED in both, boundary_mid and failure_mode AMBER in both, confident_low GREEN in both. The card's header names the level in words, so the shared identity is legible and not merely chromatic."
Understandable,3.2.4 Consistent identification,mother,Pass,"Three bands mapped consistently to the shared palette; the same band always renders the same lamp and the same sentence (boundary_mid and failure_mode produce byte-identical Hindi text, as they should)."
